"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	268	4467634	6.0
	"Alabama"	"01"	"2001"	"2001"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	32	4467634	0.7
	"Alabama"	"01"	"2001"	"2001"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	34	4467634	0.8
	"Alabama"	"01"	"2001"	"2001"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	236	4467634	5.3
	"Alabama"	"01"	"2002"	"2002"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	36	4480089	0.8
	"Alabama"	"01"	"2002"	"2002"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	56	4480089	1.2
	"Alabama"	"01"	"2002"	"2002"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	47	4480089	1.0
	"Alabama"	"01"	"2002"	"2002"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	278	4480089	6.2
	"Alabama"	"01"	"2002"	"2002"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	44	4480089	1.0
	"Alabama"	"01"	"2002"	"2002"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	24	4480089	0.5
	"Alabama"	"01"	"2002"	"2002"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	224	4480089	5.0
	"Alabama"	"01"	"2003"	"2003"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	34	4503491	0.8
	"Alabama"	"01"	"2003"	"2003"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	54	4503491	1.2
	"Alabama"	"01"	"2003"	"2003"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	49	4503491	1.1
	"Alabama"	"01"	"2003"	"2003"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	296	4503491	6.6
	"Alabama"	"01"	"2003"	"2003"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	36	4503491	0.8
	"Alabama"	"01"	"2003"	"2003"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	26	4503491	0.6
	"Alabama"	"01"	"2003"	"2003"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	260	4503491	5.8
	"Alabama"	"01"	"2004"	"2004"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	27	4530729	0.6
	"Alabama"	"01"	"2004"	"2004"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	53	4530729	1.2
	"Alabama"	"01"	"2004"	"2004"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	42	4530729	0.9
	"Alabama"	"01"	"2004"	"2004"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	280	4530729	6.2
	"Alabama"	"01"	"2004"	"2004"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	34	4530729	0.8
	"Alabama"	"01"	"2004"	"2004"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	21	4530729	0.5
	"Alabama"	"01"	"2004"	"2004"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	207	4530729	4.6
	"Alabama"	"01"	"2005"	"2005"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	34	4569805	0.7
	"Alabama"	"01"	"2005"	"2005"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	54	4569805	1.2
	"Alabama"	"01"	"2005"	"2005"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	45	4569805	1.0
	"Alabama"	"01"	"2005"	"2005"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	270	4569805	5.9
	"Alabama"	"01"	"2005"	"2005"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	30	4569805	0.7
	"Alabama"	"01"	"2005"	"2005"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	24	4569805	0.5
	"Alabama"	"01"	"2005"	"2005"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	265	4569805	5.8
	"Alabama"	"01"	"2006"	"2006"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	35	4628981	0.8
	"Alabama"	"01"	"2006"	"2006"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	43	4628981	0.9
	"Alabama"	"01"	"2006"	"2006"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	40	4628981	0.9
	"Alabama"	"01"	"2006"	"2006"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	317	4628981	6.8
	"Alabama"	"01"	"2006"	"2006"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	26	4628981	0.6
	"Alabama"	"01"	"2006"	"2006"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	32	4628981	0.7
	"Alabama"	"01"	"2006"	"2006"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	275	4628981	5.9
	"Alabama"	"01"	"2007"	"2007"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	22	4672840	0.5
	"Alabama"	"01"	"2007"	"2007"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	57	4672840	1.2
	"Alabama"	"01"	"2007"	"2007"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	37	4672840	0.8
	"Alabama"	"01"	"2007"	"2007"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	302	4672840	6.5
	"Alabama"	"01"	"2007"	"2007"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	37	4672840	0.8
	"Alabama"	"01"	"2007"	"2007"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	22	4672840	0.5
	"Alabama"	"01"	"2007"	"2007"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	319	4672840	6.8
	"Alabama"	"01"	"2008"	"2008"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	29	4718206	0.6
	"Alabama"	"01"	"2008"	"2008"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	49	4718206	1.0
	"Alabama"	"01"	"2008"	"2008"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	39	4718206	0.8
	"Alabama"	"01"	"2008"	"2008"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	336	4718206	7.1
	"Alabama"	"01"	"2008"	"2008"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	31	4718206	0.7
	"Alabama"	"01"	"2008"	"2008"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	21	4718206	0.4
	"Alabama"	"01"	"2008"	"2008"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	297	4718206	6.3
	"Alabama"	"01"	"2009"	"2009"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	27	4757938	0.6
	"Alabama"	"01"	"2009"	"2009"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	60	4757938	1.3
	"Alabama"	"01"	"2009"	"2009"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	46	4757938	1.0
	"Alabama"	"01"	"2009"	"2009"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	373	4757938	7.8
	"Alabama"	"01"	"2009"	"2009"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	28	4757938	0.6
	"Alabama"	"01"	"2009"	"2009"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	18	4757938	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	271	4757938	5.7
	"Alabama"	"01"	"2010"	"2010"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	33	4779736	0.7
	"Alabama"	"01"	"2010"	"2010"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	29	4779736	0.6
	"Alabama"	"01"	"2010"	"2010"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	30	4779736	0.6
	"Alabama"	"01"	"2010"	"2010"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	395	4779736	8.3
	"Alabama"	"01"	"2010"	"2010"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	14	4779736	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	14	4779736	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	255	4779736	5.3
	"Alabama"	"01"	"2011"	"2011"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	23	4802740	0.5
	"Alabama"	"01"	"2011"	"2011"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	38	4802740	0.8
	"Alabama"	"01"	"2011"	"2011"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	36	4802740	0.7
	"Alabama"	"01"	"2011"	"2011"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	378	4802740	7.9
	"Alabama"	"01"	"2011"	"2011"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	15	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	13	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	264	4802740	5.5
	"Alabama"	"01"	"2012"	"2012"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	11	4822023	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	42	4822023	0.9
	"Alabama"	"01"	"2012"	"2012"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	37	4822023	0.8
	"Alabama"	"01"	"2012"	"2012"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	421	4822023	8.7
	"Alabama"	"01"	"2012"	"2012"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	294	4822023	6.1
	"Alabama"	"01"	"2013"	"2013"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	20	4833722	0.4
	"Alabama"	"01"	"2013"	"2013"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	36	4833722	0.7
	"Alabama"	"01"	"2013"	"2013"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	33	4833722	0.7
	"Alabama"	"01"	"2013"	"2013"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	435	4833722	9.0
	"Alabama"	"01"	"2013"	"2013"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	16	4833722	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	12	4833722	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	289	4833722	6.0
	"Alabama"	"01"	"2014"	"2014"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	21	4849377	0.4
	"Alabama"	"01"	"2014"	"2014"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	43	4849377	0.9
	"Alabama"	"01"	"2014"	"2014"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	42	4849377	0.9
	"Alabama"	"01"	"2014"	"2014"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	394	4849377	8.1
	"Alabama"	"01"	"2014"	"2014"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	14	4849377	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	16	4849377	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	262	4849377	5.4
	"Alabama"	"01"	"2015"	"2015"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	17	4858979	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	59	4858979	1.2
	"Alabama"	"01"	"2015"	"2015"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	49	4858979	1.0
	"Alabama"	"01"	"2015"	"2015"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	420	4858979	8.6
	"Alabama"	"01"	"2015"	"2015"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	39	4858979	0.8
	"Alabama"	"01"	"2015"	"2015"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	15	4858979	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	337	4858979	6.9
	"Alabama"	"01"	"2016"	"2016"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	19	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	91	4863300	1.9
	"Alabama"	"01"	"2016"	"2016"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	45	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	414	4863300	8.5
	"Alabama"	"01"	"2016"	"2016"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	44	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	392	4863300	8.1
	"Alaska"	"02"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	16	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	18	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	21	624779	3.4
	"Alaska"	"02"	"1999"	"1999"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	25	624779	4.0
	"Alaska"	"02"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	30	626932	4.8
	"Alaska"	"02"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	28	626932	4.5
	"Alaska"	"02"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	38	626932	6.1
	"Alaska"	"02"	"2000"	"2000"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	16	626932	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	61	633714	9.6
	"Alaska"	"02"	"2001"	"2001"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	21	633714	3.3
	"Alaska"	"02"	"2002"	"2002"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	87	642337	13.5
	"Alaska"	"02"	"2002"	"2002"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	24	642337	3.7
	"Alaska"	"02"	"2003"	"2003"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	76	648414	11.7
	"Alaska"	"02"	"2003"	"2003"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	30	648414	4.6
	"Alaska"	"02"	"2004"	"2004"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	89	659286	13.5
	"Alaska"	"02"	"2004"	"2004"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	18	659286	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	81	666946	12.1
	"Alaska"	"02"	"2005"	"2005"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	23	666946	3.4
	"Alaska"	"02"	"2006"	"2006"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	68	675302	10.1
	"Alaska"	"02"	"2006"	"2006"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	25	675302	3.7
	"Alaska"	"02"	"2007"	"2007"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	87	680300	12.8
	"Alaska"	"02"	"2007"	"2007"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	22	680300	3.2
	"Alaska"	"02"	"2008"	"2008"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	58	687455	8.4
	"Alaska"	"02"	"2008"	"2008"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	42	687455	6.1
	"Alaska"	"02"	"2008"	"2008"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	16	687455	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	43	698895	6.2
	"Alaska"	"02"	"2009"	"2009"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	33	698895	4.7
	"Alaska"	"02"	"2009"	"2009"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	15	698895	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	67	710231	9.4
	"Alaska"	"02"	"2010"	"2010"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	32	710231	4.5
	"Alaska"	"02"	"2010"	"2010"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	28	710231	3.9
	"Alaska"	"02"	"2011"	"2011"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	49	722718	6.8
	"Alaska"	"02"	"2011"	"2011"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	31	722718	4.3
	"Alaska"	"02"	"2011"	"2011"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	19	722718	Unreliable
	"Alaska"	"02"	"2011"	"2011"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	17	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	42	731449	5.7
	"Alaska"	"02"	"2012"	"2012"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	29	731449	4.0
	"Alaska"	"02"	"2012"	"2012"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	27	731449	3.7
	"Alaska"	"02"	"2012"	"2012"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	17	731449	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	65	735132	8.8
	"Alaska"	"02"	"2013"	"2013"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	40	735132	5.4
	"Alaska"	"02"	"2013"	"2013"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	15	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	16	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	52	736732	7.1
	"Alaska"	"02"	"2014"	"2014"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	25	736732	3.4
	"Alaska"	"02"	"2014"	"2014"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	38	736732	5.2
	"Alaska"	"02"	"2014"	"2014"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	18	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	64	738432	8.7
	"Alaska"	"02"	"2015"	"2015"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	21	738432	2.8
	"Alaska"	"02"	"2015"	"2015"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	38	738432	5.1
	"Alaska"	"02"	"2015"	"2015"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	33	738432	4.5
	"Alaska"	"02"	"2016"	"2016"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	47	741894	6.3
	"Alaska"	"02"	"2016"	"2016"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	20	741894	2.7
	"Alaska"	"02"	"2016"	"2016"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	46	741894	6.2
	"Alaska"	"02"	"2016"	"2016"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	43	741894	5.8
	"Arizona"	"04"	"1999"	"1999"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	17	5023823	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	134	5023823	2.7
	"Arizona"	"04"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	43	5023823	0.9
	"Arizona"	"04"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	299	5023823	6.0
	"Arizona"	"04"	"1999"	"1999"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	18	5023823	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	280	5023823	5.6
	"Arizona"	"04"	"2000"	"2000"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	12	5130632	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	75	5130632	1.5
	"Arizona"	"04"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	37	5130632	0.7
	"Arizona"	"04"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	377	5130632	7.3
	"Arizona"	"04"	"2000"	"2000"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	16	5130632	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	255	5130632	5.0
	"Arizona"	"04"	"2001"	"2001"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	12	5273477	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	60	5273477	1.1
	"Arizona"	"04"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	40	5273477	0.8
	"Arizona"	"04"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	368	5273477	7.0
	"Arizona"	"04"	"2001"	"2001"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	10	5273477	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	320	5273477	6.1
	"Arizona"	"04"	"2002"	"2002"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	22	5396255	0.4
	"Arizona"	"04"	"2002"	"2002"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	77	5396255	1.4
